Name,Config,FLOPs,Parameters,Top 1 Accuracy,Top 5 Accuracy,Epochs,Batch Size,Training Techniques
vit-base-p16_clip-laion2b-pre_3rdparty_in1k,configs/clip/vit-base-p16_pt-64xb64_in1k.py,16855600128,86568424,85.49,97.59,,,
efficientnetv2-m_in21k-pre_3rdparty_in1k,configs/efficientnet_v2/efficientnetv2-m_8xb32_in1k-480px.py,26880363584,54139356,85.47,97.76,,,
xcit-medium-24-p16_3rdparty-dist_in1k-384px,configs/xcit/xcit-medium-24-p16_8xb128_in1k-384px.py,47388932608,84395752,85.47,97.49,,,
vit-base-p16_in21k-pre_3rdparty_in1k-384px,configs/vision_transformer/vit-base-p16_64xb64_in1k-384px.py,55538974464,86859496,85.43,97.77,,,
efficientnetv2-l_3rdparty_in1k,configs/efficientnet_v2/efficientnetv2-l_8xb32_in1k-480px.py,60142387008,118515272,85.43,97.31,,,
vit-large-p16_mae-800e-pre_8xb128-coslr-50e_in1k,configs/mae/benchmarks/vit-large-p16_8xb128-coslr-50e_in1k.py,61602103296,304324584,85.4,,50.0,1024.0,
vit-base-p32_clip-laion2b-in12k-pre_3rdparty_in1k-384px,configs/clip/vit-base-p32_pt-64xb64_in1k-384px.py,12661054464,88225000,85.39,97.67,,,
efficientnet-b8_3rdparty_8xb32-aa-advprop_in1k,configs/efficientnet/efficientnet-b8_8xb32-01norm_in1k.py,64999827816,87413142,85.38,97.28,,,
vit-base-p16_milan-pre_8xb128-coslr-100e_in1k,configs/milan/benchmarks/vit-base-p16_8xb128-coslr-100e_in1k.py,17581215744,86566120,85.3,,100.0,1024.0,
vit-base-p16_clip-openai-pre_3rdparty_in1k,configs/clip/vit-base-p16_pt-64xb64_in1k.py,16855600128,86568424,85.3,97.5,,,
beit-base-p16_beit-in21k-pre_3rdparty_in1k,configs/beit/benchmarks/beit-base-p16_8xb64_in1k.py,17581219584,86530984,85.28,97.59,,,
mvitv2-large_3rdparty_in1k,configs/mvit/mvitv2-large_8xb256_in1k.py,43868151412,217992952,85.25,97.14,,,
efficientnet-b4_3rdparty-ra-noisystudent_in1k,configs/efficientnet/efficientnet-b4_8xb32_in1k.py,4659080176,19341616,85.25,97.52,,,
deit3-huge-p14_3rdparty_in1k,configs/deit3/deit3-huge-p14_64xb32_in1k.py,167400741120,632126440,85.21,97.36,,,
vit-large-p16_mae-400e-pre_8xb128-coslr-50e_in1k,configs/mae/benchmarks/vit-large-p16_8xb128-coslr-50e_in1k.py,61602103296,304324584,85.2,,50.0,1024.0,
replknet-31B_in21k-pre_3rdparty_in1k,configs/replknet/replknet-31B_32xb64_in1k.py,15636547584,79864168,85.2,97.56,,,
swin-base_in21k-pre-3rdparty_in1k,configs/swin_transformer/swin-base_16xb64_in1k.py,15140000000,87770000,85.16,97.5,,,
xcit-large-24-p8_3rdparty-dist_in1k,configs/xcit/xcit-large-24-p8_8xb128_in1k.py,141225699072,188932648,85.14,97.32,,,
efficientnet-b7_3rdparty_8xb32-aa-advprop_in1k,configs/efficientnet/efficientnet-b7_8xb32-01norm_in1k.py,39316473392,66347960,85.14,97.23,,,
vit-base-p32_clip-openai-in12k-pre_3rdparty_in1k-384px,configs/clip/vit-base-p32_pt-64xb64_in1k-384px.py,12661054464,88225000,85.13,97.42,,,
xcit-small-12-p8_3rdparty-dist_in1k-384px,configs/xcit/xcit-small-12-p8_8xb128_in1k-384px.py,54923537280,26213032,85.12,97.31,,,
xcit-small-24-p16_3rdparty-dist_in1k-384px,configs/xcit/xcit-small-24-p16_8xb128_in1k-384px.py,26721471360,47671384,85.1,97.32,,,
convnext-base_3rdparty_in1k-384px,configs/convnext/convnext-base_32xb128_in1k-384px.py,45205885952,88591464,85.1,97.34,,,
convnext-v2-tiny_fcmae-in21k-pre_3rdparty_in1k-384px,configs/convnext_v2/convnext-v2-tiny_32xb32_in1k-384px.py,13135236864,28635496,85.09,97.63,,,
